gpio,time,temperature,humidity,measure_name
22,1695288845553,77.75,64.95,metric
22,1695289123695,77.47,64.37,metric
22,1695289143232,77.72,64.67,metric
22,1695289617553,77.15,64.45,metric
22,1695289636069,77.82,64.97,metric
22,1695289911836,77.37,64.21,metric
22,1695289954807,77.99,64.41,metric
22,1695290276681,75.6,64.84,metric
22,1695290362537,75.89,64.88,metric
22,1695290394568,75.99,64.99,metric
22,1695290743103,75.38,64.65,metric
22,1695290909292,75.48,64.42,metric
22,1695291313144,76.02,64.43,metric
22,1695291700994,75.84,64.69,metric
22,1695292213351,75.85,63.31,metric
22,1695292427836,75.7,63.2,metric
22,1695292711068,75.22,63.3,metric
22,1695292911340,75.5,63.9,metric
22,1695292983846,75.82,63.93,metric
22,1695293345613,75.3,64.89,metric
22,1695293399634,75.98,63.17,metric
22,1695294290956,75.21,64.87,metric
22,1695294349408,75.8,64.34,metric
22,1695294411370,75.22,63.04,metric
22,1695294569389,75.74,64.47,metric
22,1695294584346,75.53,64.5,metric
22,1695294646340,75.22,63.79,metric
22,1695294777758,75.48,64.26,metric
22,1695294934691,76.13,64.16,metric
22,1695295200058,75.56,64.33,metric
22,1695295307428,75.88,64.62,metric
22,1695295688195,75.76,64.76,metric
22,1695296398174,75.4,64.06,metric
22,1695296525238,75.75,63.93,metric
22,1695296623815,76.06,63.45,metric
22,1695296698253,75.63,64.41,metric
22,1695296936106,75.26,64.83,metric
22,1695297189587,75.71,63.55,metric
22,1695297300289,75.95,63.34,metric
22,1695297349500,75.55,63.99,metric
22,1695297743238,76.16,63.82,metric
22,1695297772245,76.18,64.9,metric
22,1695298065281,75.77,63.86,metric
22,1695298150112,75.29,63.14,metric
22,1695298322959,76.18,63.71,metric
22,1695298760868,75.59,63.4,metric
22,1695298855751,75.23,64.23,metric
22,1695299121579,75.85,63.64,metric
22,1695299322863,75.48,63.13,metric
22,1695299400791,75.58,63.5,metric
22,1695299435235,75.57,63.65,metric
22,1695299621473,75.73,63.55,metric
22,1695299816664,75.27,64.56,metric
22,1695299829128,76.15,64.33,metric
22,1695299882592,76.05,63.72,metric
22,1695300133805,75.66,63.48,metric
22,1695300238752,75.97,63.53,metric
22,1695301207784,76.17,63.1,metric
22,1695301521992,75.97,63.11,metric
22,1695301712751,76.14,63.8,metric
22,1695301785195,75.83,63.23,metric
22,1695301945171,75.32,63.27,metric
22,1695302266437,76.07,63.33,metric
22,1695302296566,75.38,63.8,metric
22,1695302395405,75.29,63.45,metric
22,1695302423850,75.66,63.64,metric
22,1695302895746,75.92,63.52,metric
22,1695303306294,75.85,63.29,metric
22,1695303735627,76.14,63.93,metric
22,1695304048664,75.47,63.63,metric
